Row,Date,CO
636,2011-12-28,33
637,2012-01-01,6
638,2012-01-02,4
639,2012-01-03,23
640,2012-01-04,7
641,2012-01-07,1
642,2012-01-08,1
643,2012-01-09,28
644,2012-01-10,3
645,2012-01-11,1
646,2012-01-15,3
647,2012-01-16,3
648,2012-01-18,4
649,2012-01-21,59
650,2012-01-23,4
651,2012-01-25,1
652,2012-01-28,15
653,2012-01-29,5
654,2012-01-30,12
655,2012-01-31,3
656,2012-02-01,7
657,2012-02-04,24
658,2012-02-05,8
659,2012-02-06,6
660,2012-02-07,11
661,2012-02-08,3
662,2012-02-12,1
663,2012-02-13,8
664,2012-02-14,2
665,2012-02-15,20
666,2012-02-18,7
667,2012-02-19,2
668,2012-02-20,6
669,2012-02-21,5
670,2012-02-22,4
671,2012-02-25,5
672,2012-02-26,2
673,2012-02-27,1
674,2012-02-28,4
675,2012-02-29,11
676,2012-03-03,2
677,2012-03-04,1
678,2012-03-05,7
679,2012-03-06,25
680,2012-03-07,6
681,2012-03-11,6
682,2012-03-13,6
683,2012-03-14,9
684,2012-03-24,2
685,2012-03-25,2
686,2012-03-26,3
687,2012-03-28,4
688,2012-04-02,5
689,2012-04-03,7
690,2012-04-04,5
691,2012-04-07,1
692,2012-04-08,4
693,2012-04-09,1
694,2012-04-10,18
695,2012-04-11,11
696,2012-04-14,5
697,2012-04-15,6
698,2012-04-16,6
699,2012-04-17,2
700,2012-04-18,3
701,2012-04-21,11
702,2012-04-22,12
703,2012-04-23,6
704,2012-04-24,3
705,2012-04-28,1
706,2012-04-29,14
707,2012-05-01,3
708,2012-05-02,2
709,2012-05-05,3
710,2012-05-06,4
711,2012-05-07,5
712,2012-05-08,1
713,2012-05-09,5
714,2012-05-12,6
715,2012-05-13,31
716,2012-05-15,4
717,2012-05-16,3
718,2012-05-19,1
719,2012-05-21,3
720,2012-05-26,3
721,2012-05-27,3
722,2012-05-28,3
723,2012-05-29,2
724,2012-05-30,2
725,2012-06-02,2
726,2012-06-06,50
727,2012-06-10,4
728,2012-06-11,3
729,2012-06-12,5
730,2012-06-13,2
731,2012-06-16,6
732,2012-06-17,1
733,2012-06-18,41
734,2012-06-19,1
735,2012-06-20,5
736,2012-06-23,1
737,2012-06-24,28
738,2012-06-25,9
739,2012-06-26,13
740,2012-06-30,4
741,2012-07-01,3
742,2012-07-02,1
743,2012-07-03,5
744,2012-07-07,2
745,2012-07-08,1
746,2012-07-09,9
747,2012-07-10,5
748,2012-07-11,1
749,2012-07-14,4
750,2012-07-16,2
751,2012-07-17,2
752,2012-07-21,4
753,2012-07-22,22
754,2012-07-23,1
755,2012-07-24,1
756,2012-07-25,4
757,2012-07-29,13
758,2012-07-30,2
759,2012-07-31,4
760,2012-08-01,10
761,2012-08-04,4
762,2012-08-05,4
763,2012-08-06,3
764,2012-08-07,9
765,2012-08-08,1
766,2012-08-11,4
767,2012-08-12,19
768,2012-08-13,1
769,2012-08-15,3
770,2012-08-18,17
771,2012-08-25,27
772,2012-08-26,1
773,2012-08-27,2
774,2012-08-28,2
775,2012-08-29,3
776,2012-09-01,2
777,2012-09-02,4
778,2012-09-03,3
779,2012-09-08,2
780,2012-09-09,3
781,2012-09-10,1
782,2012-09-11,1
783,2012-09-16,1
784,2012-09-22,78
785,2012-09-23,1
786,2012-09-25,6
787,2012-09-26,1
788,2012-09-29,3
789,2012-10-01,1
790,2012-10-02,2
791,2012-10-03,5
792,2012-10-06,31
793,2012-10-07,13
794,2012-10-08,1
795,2012-10-13,3
796,2012-10-14,1
797,2012-10-15,1
798,2012-10-16,5
799,2012-10-21,6
800,2012-10-22,33
801,2012-10-23,3
802,2012-10-27,1
803,2012-10-28,1
804,2012-10-30,28
805,2012-10-31,2
806,2012-11-04,4
807,2012-11-05,1
808,2012-11-06,4
809,2012-11-11,5
810,2012-11-12,1
811,2012-11-13,2
812,2012-11-14,2
813,2012-11-17,72
814,2012-11-18,1
815,2012-11-19,10
816,2012-11-20,23
817,2012-11-26,6
818,2012-11-28,7
819,2012-12-01,1
820,2012-12-02,2
821,2012-12-04,3
