ROW,Date,CO
594,2016-03-09,64604.00
595,2016-03-10,6454.00
596,2016-03-12,15194.00
597,2016-03-14,14904.00
598,2016-03-15,24784.00
599,2016-03-16,409.00
600,2016-03-17,3320.00
601,2016-03-28,81.00
602,2016-03-29,274.00
603,2016-03-30,101.00
604,2016-04-02,1079.00
605,2016-04-03,1959.00
606,2016-04-04,1867.00
607,2016-04-05,17366.00
608,2016-04-06,18018.00
609,2016-04-07,9015.00
610,2016-04-09,8317.00
611,2016-04-10,15130.00
612,2016-04-11,1522.00
613,2016-04-12,19681.00
614,2016-04-13,30015.00
615,2016-04-14,8098.00
616,2016-04-16,12809.00
617,2016-04-17,17761.00
618,2016-04-18,11848.00
619,2016-04-19,7850.00
620,2016-04-20,3000.00
621,2016-04-23,7789.00
622,2016-04-24,13274.00
623,2016-04-25,11133.00
624,2016-04-26,6438.00
625,2016-04-27,5881.00
626,2016-04-28,3831.00
627,2016-04-30,13129.00
628,2016-05-01,13748.00
629,2016-05-02,43451.00
630,2016-05-03,17224.00
631,2016-05-04,15846.00
632,2016-05-07,16632.00
633,2016-05-08,15010.00
634,2016-05-09,3965.00
635,2016-05-10,10550.00
636,2016-05-11,26450.00
637,2016-05-12,10346.00
638,2016-05-14,17600.00
639,2016-05-15,14380.00
640,2016-05-16,9575.00
641,2016-05-17,8969.00
642,2016-05-18,19479.00
643,2016-05-19,2740.00
644,2016-05-21,6269.00
645,2016-05-23,4889.00
646,2016-05-24,7601.00
647,2016-05-25,7427.00
648,2016-05-26,10594.00
649,2016-05-28,9241.00
650,2016-05-29,23548.00
651,2016-05-30,19434.00
652,2016-05-31,15899.00
653,2016-06-01,8648.00
654,2016-06-02,1820.00
655,2016-06-05,8802.00
656,2016-06-06,6018.00
657,2016-06-07,5497.00
658,2016-06-08,16629.00
659,2016-06-09,9820.00
660,2016-06-11,5582.00
661,2016-06-12,17874.00
662,2016-06-13,6165.00
663,2016-06-14,8852.00
664,2016-06-15,23853.00
665,2016-06-16,1228.00
666,2016-06-18,5166.00
667,2016-06-19,9782.00
668,2016-06-20,20626.00
669,2016-06-21,4804.00
670,2016-06-22,8277.00
671,2016-06-23,9268.00
672,2016-06-25,9539.00
673,2016-06-26,12829.00
674,2016-06-28,4649.00
675,2016-06-29,2400.00
676,2016-06-30,4237.00
677,2016-07-02,19653.00
678,2016-07-03,16834.00
679,2016-07-04,11768.00
680,2016-07-05,2179.00
681,2016-07-09,7805.00
682,2016-07-10,7569.00
683,2016-07-11,5773.00
684,2016-07-12,7847.00
685,2016-07-13,7677.00
686,2016-07-14,4255.00
687,2016-07-16,24125.00
688,2016-07-17,33591.00
689,2016-07-18,19525.00
690,2016-07-19,8982.00
691,2016-07-20,14477.00
692,2016-07-21,7935.00
693,2016-07-23,17811.00
694,2016-07-24,56142.00
695,2016-07-25,5363.00
696,2016-07-26,7286.00
697,2016-07-27,3533.00
698,2016-07-28,17646.00
699,2016-07-31,9657.00
700,2016-08-01,10337.00
701,2016-08-02,13117.00
702,2016-08-03,38586.00
703,2016-08-04,11162.00
704,2016-08-06,13817.00
705,2016-08-07,8387.00
706,2016-08-08,13024.00
707,2016-08-09,7665.00
708,2016-08-10,12517.00
709,2016-08-11,3117.00
710,2016-08-13,15394.00
711,2016-08-14,9583.00
712,2016-08-15,8929.00
713,2016-08-16,4275.00
714,2016-08-17,17047.00
715,2016-08-18,7543.00
716,2016-08-20,20476.00
717,2016-08-21,26753.00
718,2016-08-22,4810.00
719,2016-08-23,11617.00
720,2016-08-24,11298.00
721,2016-08-25,9318.00
722,2016-08-27,7050.00
723,2016-08-28,10128.00
724,2016-08-29,3136.00
725,2016-08-30,11805.00
726,2016-08-31,6322.00
727,2016-09-01,6409.00
728,2016-09-03,16830.00
729,2016-09-04,8886.00
730,2016-09-05,9953.00
731,2016-09-06,10032.00
732,2016-09-07,5902.00
733,2016-09-08,7216.00
734,2016-09-10,4022.00
735,2016-09-11,24200.00
736,2016-09-13,7488.00
737,2016-09-14,6486.00
738,2016-09-15,7298.00
739,2016-09-17,8081.00
740,2016-09-18,9017.00
741,2016-09-19,3177.00
742,2016-09-20,4190.00
743,2016-09-21,8384.00
744,2016-09-22,6004.00
745,2016-09-24,17199.00
746,2016-09-25,32459.00
747,2016-09-26,27397.00
748,2016-09-27,18660.00
749,2016-09-28,13136.00
750,2016-09-29,14525.00
751,2016-10-01,18724.00
752,2016-10-02,11611.00
753,2016-10-03,8396.00
754,2016-10-04,10675.00
755,2016-10-05,13014.00
756,2016-10-06,7365.00
757,2016-10-08,12767.00
758,2016-10-09,13780.00
759,2016-10-10,18958.00
760,2016-10-13,1265.00
761,2016-10-15,16089.00
762,2016-10-16,8979.00
763,2016-10-17,23327.00
764,2016-10-18,4895.00
765,2016-10-19,10719.00
766,2016-10-20,27796.00
767,2016-10-22,4719.00
768,2016-10-23,12929.00
769,2016-10-24,9682.00
770,2016-10-25,26535.00
771,2016-10-26,45854.00
772,2016-10-27,16311.00
773,2016-10-29,1665.00
